run,scorer,n_queries,k_removed,rho,lo,hi,status
plan_adam_eps1e17_16k_bs128,ekfac,20,160,0.6857,0.2597,0.9530,ok
plan_adam_eps1e17_16k_bs128,magic,20,160,0.3293,-0.1985,0.7321,ok
plan_adam_eps1e17_16k_bs16,ekfac,20,160,0.6316,0.2039,0.8999,ok
plan_adam_eps1e17_16k_bs16,magic,20,160,-0.8075,-0.9087,-0.5809,ok
plan_adam_eps1e17_16k_bs32,ekfac,20,160,0.6015,0.1272,0.9297,ok
plan_adam_eps1e17_16k_bs32,magic,20,160,-0.0722,-0.5628,0.4947,ok
plan_adam_eps1e17_16k_bs64,ekfac,,,,,,scores missing: /mnt/ssd-2/lucia/paper_runs/experiments/plan_adam_eps1e17_16k_bs64/ekfac_scores/scores
plan_adam_eps1e17_16k_bs64,magic,20,160,-0.6917,-0.8704,-0.3131,ok
plan_adam_eps1e17_16k_clip1.0,ekfac,20,160,0.6391,0.1881,0.9268,ok
plan_adam_eps1e17_16k_clip1.0,magic,20,160,0.1955,-0.2763,0.5930,ok
plan_adam_eps1e17_16k_ep4,ekfac,20,160,0.6917,0.3185,0.9151,ok
plan_adam_eps1e17_16k_ep4,magic,20,160,0.1744,-0.3481,0.6564,ok
plan_adam_eps1e17_16k_gpt2-medium,ekfac,14,160,0.8022,0.3953,0.9463,ok
plan_adam_eps1e17_16k_gpt2-medium,magic,20,160,0.1684,-0.3596,0.6314,ok
plan_adam_eps1e17_16k_scale0.25,ekfac,20,160,0.3414,-0.2155,0.7527,ok
plan_adam_eps1e17_16k_scale0.25,magic,20,160,-0.3699,-0.7705,0.1403,ok
plan_adam_eps1e17_16k_scale0.5,ekfac,20,160,0.1970,-0.3621,0.6076,ok
plan_adam_eps1e17_16k_scale0.5,magic,20,160,0.1714,-0.3024,0.6106,ok
plan_adam_eps1e17_16k_wd0.0,ekfac,20,160,0.7459,0.3768,0.9349,ok
plan_adam_eps1e17_16k_wd0.0,magic,20,160,0.5008,0.0561,0.7994,ok
plan_adam_eps1e17_16k_wd0.1,ekfac,20,160,0.7714,0.3959,0.9500,ok
plan_adam_eps1e17_16k_wd0.1,magic,20,160,0.4887,0.0364,0.8073,ok
plan_adam_eps1e17_32k_bs256,ekfac,20,320,0.5835,0.0682,0.9198,ok
plan_adam_eps1e17_32k_bs256,magic,20,320,0.5910,0.1363,0.8830,ok
plan_adam_eps1e17_4k_bs256,ekfac,20,40,0.6917,0.2752,0.9121,ok
plan_adam_eps1e17_4k_bs256,magic,20,40,0.3624,-0.1716,0.7703,ok
plan_adam_eps1e17_8k_bs256,ekfac,20,80,0.5338,0.0107,0.9408,ok
plan_adam_eps1e17_8k_bs256,magic,20,80,0.2827,-0.2106,0.6844,ok
plan_muon_eps1e17_16k_bs128,ekfac,20,160,0.6090,0.1385,0.9484,ok
plan_muon_eps1e17_16k_bs128,magic,20,160,0.5023,0.0273,0.8402,ok
plan_muon_eps1e17_16k_bs16,ekfac,20,160,0.5008,-0.0200,0.8852,ok
plan_muon_eps1e17_16k_bs32,ekfac,20,160,0.5925,0.1099,0.9292,ok
plan_muon_eps1e17_16k_bs32,magic,20,160,0.3474,-0.2127,0.8269,ok
plan_muon_eps1e17_16k_bs64,ekfac,20,160,0.4947,-0.0159,0.9226,ok
plan_muon_eps1e17_16k_bs64,magic,20,160,0.3564,-0.2138,0.8349,ok
plan_muon_eps1e17_32k_bs256,ekfac,20,320,0.4692,-0.0464,0.8766,ok
plan_muon_eps1e17_32k_bs256,magic,20,320,0.5714,0.1217,0.9030,ok
plan_muon_eps1e17_4k_bs256,ekfac,20,40,0.5158,0.0828,0.7973,ok
plan_muon_eps1e17_4k_bs256,magic,20,40,-0.6917,-0.9035,-0.3152,ok
plan_muon_eps1e17_8k_bs256,ekfac,20,80,0.6256,0.1845,0.9015,ok
plan_muon_eps1e17_8k_bs256,magic,20,80,0.8135,0.5687,0.9087,ok
sm_adamw_eps1e17_16k_bs256,ekfac,20,160,0.7308,0.3414,0.9359,ok
sm_adamw_eps1e17_16k_bs256,magic,20,160,0.4857,0.0356,0.8002,ok
sm_muon_eps1e17_16k_bs256,ekfac,20,160,0.7353,0.3293,0.9561,ok
sm_muon_eps1e17_16k_bs256,magic,20,160,0.6286,0.1598,0.9072,ok
plan_adam_eps1e17_16k_bs512,ekfac,20,160,0.8195,0.5171,0.9410,ok
plan_adam_eps1e17_16k_bs512,magic,20,160,0.4150,-0.0288,0.7379,ok
plan_adam_eps1e17_32k_bs32,ekfac,20,320,0.6421,0.1850,0.9271,ok
plan_muon_eps1e17_32k_bs32,ekfac,20,320,0.4947,-0.0235,0.8425,ok
